Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Reid Hoffman and Chris Yeh on Blitzscaling,"Blitzscaling is a growth strategy that prioritizes speed over efficiency in the face of uncertainty. Those bold enough to adopt it must break free from the confines of business school logic to take uncalculated risks that could just as easily lead to abject failure as rapid-fire growth. In this course, LinkedIn founder Reid Hoffman and entrepreneur Chris Yeh break down when and how entrepreneurs and other business leaders should leverage this tactic to get ahead. Reid and Chris—who literally wrote the book on this topic in 2018's <i>Blitzscaling</i>— explain how, despite the potential pitfalls, blitzscaling practices are often the key to scaling massive companies. They share examples of successful blitzscaling, explain how to blitzscale within a larger organization, and more.",Course,2021-07-23 17:08 UTC,N/A,false,N/A,
Ram Charan on Coaching High Potentials,"High-potential employees are the key driver of an organization's future success and performance-but who are these future leaders? Where do they come from and how are they developed? In this short course, LinkedIn Influencer Ram Charan, a top-level coach to global CEOs, outlines what companies must do to cultivate high potentials and what individuals can do to develop their high-potential selves: by pursuing skills, opportunities, and focus.",Course,2018-10-14 17:00 UTC,N/A,false,N/A,
Change Management Foundations (2016),"Change is hard, but necessary for businesses to thrive and survive. You—as leader or manager—can help implement new business processes and initiatives using organizational change management (OCM).  In this course, consultant and change management expert Bob McGannon discusses the principles and techniques necessary to drive change at the project level, in a certain business area, or throughout an entire organization. He helps you prepare, manage, and support the change process, outlining the five phases involved and the eight competencies required for success. Bob also helps you understand the stages of change on an individual level, so you can help team members and stakeholders adapt.",Course,2018-09-20 06:58 UTC,N/A,false,N/A,
Avoiding Burnout (2015),"Prolonged periods of stress—related to your work, your home life, or your health—can lead to burnout. Burnout reduces our productivity and saps our energy, leaving us overwhelmed by everyday tasks and feeling increasingly cynical and resentful. In this course, Todd Dewett helps you recognize some of the most common causes of burnout, such as long hours, too much travel, tight deadlines, and no vacation, so that you can figure out how to prevent stress from building up and help yourself recover.",Course,2019-06-09 22:42 UTC,N/A,false,N/A,
Drawing Vector Graphics: Color and Detail,"A sketch is a great starting place, but lighting, color, and detail are what take your illustrations to the next level. In this course, Von Glitschka shows you how to use lighting effects, colors, and a great variety of detailing methods to your designs with Adobe Illustrator. Along the way, Von reveals his insights on the creative process and shares creative works that demonstrate the techniques he’s teaching.",Course,2024-02-01 00:46 UTC,N/A,false,N/A,
How to Proactively Manage Conflict as an Employee,"Manage conflict before it escalates. Learn how to recognize the signs of conflict and apply problem-solving strategies to resolve it with tact and diplomacy. Veteran HR leader Laurie Ruettimann explains how to differentiate conflict from bullying and identify when you need third-party intervention. Then she discusses how to overcome conflict with colleagues, whether they're disengaged, hostile, or simply stressed. Finally, learn how to manage conflict with your boss and lead others through conflict—no matter what your role—by being a peer leader. Plus, see how practicing conflict management in personal situations can help you master it on the job.",Course,2021-01-29 17:53 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2017-08-03 07:37 UTC,N/A,false,N/A,
Brad Feld on Raising Capital,"To get a business off the ground or take it to the next level, entrepreneurs often need extra cash. Venture financing, where money is raised from venture capital firms or individual investors as opposed to a public institution like a bank, is a popular avenue. But how do you decide if financing makes sense for your business? How much money do you need? And who do you ask? Brad Feld is an investor who has overseen thousands of rounds of venture financing, enabling companies like Zynga, MakerBot, and Fitbit to grow from startups to established enterprises. In this course, he walks you through the process of evaluating, finding, and securing funding for your business. Learn about the different stages of financing, the many types of investors, and different avenues of funding: traditional convertible debt and equity and newer practices such as crowdfunding and pre-sales. Brad helps you zero in on a solution that's right for your business and develop a mindset for success.",Course,2019-05-01 03:22 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence (2017),Emotional intelligence can help you build effective relationships at work. Executive coach and organizational psychologist Gemma Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build strong and collaborative relationships.,Course,2019-12-11 05:24 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2019-09-24 04:46 UTC,N/A,false,N/A,
Gary Hamel on Busting Bureaucracy,"If you want to build a company that's fit for the future, you need to be a leader and an innovator. Yet most companies still bury their employees under layers of managerial overhead and saddle them with petty rules that stymie initiative and undermine creativity. This has to change. Bureaucracy must die.

In this course, global business thought leader Gary Hamel outlines what <em>you</em> can do to bust bureaucracy—whatever your role and whatever your position. He shows you how to…<br><br>
<ul>
<li>Focus your frustration</li>
<li>Enroll a posse of change agents</li>
<li>Build an irresistible case for change</li>
<li>Learn from organizations that have conquered bureaucracy</li>
<li> ""Hack"" the management systems in your organization</li>
</ul><br><br>
With these insights any employee can become a bureaucracy buster.",Course,2019-01-26 06:16 UTC,N/A,false,N/A,
Excel Data Visualization: Mastering 20+ Charts and Graphs,"When you think data visualization, you might not think Microsoft Excel. But Excel offers a large number of charts and graphing tools that complement its data analysis toolset. This course offers a laser-focused, practical guide to over 20 useful Excel charts and graphs for data visualization. Instructor Chris Dutton reviews the key principles of data visualization, and provides some introductory tips to help you customize any kind of chart in Excel. In this section, you can learn how to adjust text and cell formatting, change the chart type and axes, and leverage built-in templates. In chapter three, Chris reviews the different chart types: from basic bar and pie charts, to scatter plots, histograms, funnel charts, and sparklines. Plus, learn how to create geospatial heat maps and 3D power maps, and combine different chart types on one sheet.",Course,2019-04-11 06:08 UTC,N/A,false,N/A,
Building and Deploying Deep Learning Applications with TensorFlow,"TensorFlow is one of the most popular deep learning frameworks available. It's used for everything from cutting-edge machine learning research to building new features for the hottest start-ups in Silicon Valley. In this course, learn how to install TensorFlow and use it to build a simple deep learning model. After he shows how to get TensorFlow up and running, instructor Adam Geitgey demonstrates how to create and train a machine learning model, as well as how to leverage visualization tools to analyze and improve your model. Finally, he explains how to deploy models locally or in the cloud. When you wrap up this course, you'll be ready to start building and deploying your own models with TensorFlow.",Course,2019-02-23 19:33 UTC,N/A,false,N/A,
